47.3	-51.2389
47.4	-51.2389
47.5	-51.2389
47.6	-51.239
47.7	-51.239
47.8	-51.239
47.9	-51.239
48	-51.2391
48.1	-51.2391
48.2	-51.2391
48.3	-51.2391
48.4	-51.2392
48.5	-51.2392
48.6	-51.2392
48.7	-51.2393
48.8	-51.2393
48.9	-51.2393
49	-51.2393
49.1	-51.2394
49.2	-51.2394
49.3	-51.2394
49.4	-51.2394
49.5	-51.2394
49.6	-51.2395
49.7	-51.2395
49.8	-51.2395
49.9	-51.2395
50	-51.2396
50.1	-51.2396
50.2	-51.2396
50.3	-51.2396
50.4	-51.2397
50.5	-51.2397
50.6	-51.2397
50.7	-51.2397
50.8	-51.2397
50.9	-51.2398
51	-51.2398
51.1	-51.2398
51.2	-51.2398
51.3	-51.2399
51.4	-51.2399
51.5	-51.2399
51.6	-51.2399
51.7	-51.2399
51.8	-51.24
51.9	-51.24
52	-51.24
52.1	-51.24
52.2	-51.24
52.3	-51.2401
52.4	-51.2401
52.5	-51.2401
52.6	-51.2401
52.7	-51.2401
52.8	-51.2402
52.9	-51.2402
53	-51.2402
53.1	-51.2402
53.2	-51.2402
53.3	-51.2403
53.4	-51.2403
53.5	-51.2403
53.6	-51.2403
53.7	-51.2403
53.8	-51.2404
53.9	-51.2404
54	-51.2404
54.1	-51.2404
54.2	-51.2404
54.3	-51.2404
54.4	-51.2405
54.5	-51.2405
54.6	-51.2405
54.7	-51.2405
54.8	-51.2405
54.9	-51.2406
55	-51.2406
55.1	-51.2406
55.2	-51.2406
55.3	-51.2406
55.4	-51.2406
55.5	-51.2407
55.6	-51.2407
55.7	-51.2407
55.8	-51.2407
55.9	-51.2407
56	-51.2407
56.1	-51.2408
56.2	-51.2408
56.3	-51.2408
56.4	-51.2408
56.5	-51.2408
56.6	-51.2408
56.7	-51.2409
56.8	-51.2409
56.9	-51.2409
57	-51.2409
57.1	-51.2409
57.2	-51.2409
57.3	-51.2409
57.4	-51.241
57.5	-51.241
57.6	-51.241
57.7	-51.241
57.8	-51.241
57.9	-51.241
58	-51.2411
58.1	-51.2411
58.2	-51.2411
58.3	-51.2411
58.4	-51.2411
58.5	-51.2411
58.6	-51.2411
58.7	-51.2412
58.8	-51.2412
58.9	-51.2412
59	-51.2412
59.1	-51.2412
59.2	-51.2412
59.3	-51.2412
59.4	-51.2413
59.5	-51.2413
59.6	-51.2413
59.7	-51.2413
59.8	-51.2413
59.9	-51.2413
60	-51.2413
60.1	-51.2413
60.2	-51.2414
60.3	-51.2414
60.4	-51.2414
60.5	-51.2414
60.6	-51.2414
60.7	-51.2414
60.8	-51.2414
60.9	-51.2415
61	-51.2415
61.1	-51.2415
61.2	-51.2415
61.3	-51.2415
61.4	-51.2415
61.5	-51.2415
61.6	-51.2415
61.7	-51.2416
61.8	-51.2416
61.9	-51.2416
62	-51.2416
62.1	-51.2416
62.2	-51.2416
62.3	-51.2416
62.4	-51.2416
62.5	-51.2416
62.6	-51.2417
62.7	-51.2417
62.8	-51.2417
62.9	-51.2417
63	-51.2417
63.1	-51.2417
63.2	-51.2417
63.3	-51.2417
63.4	-51.2418
63.5	-51.2418
63.6	-51.2418
63.7	-51.2418
63.8	-51.2418
63.9	-51.2418
64	-51.2418
64.1	-51.2418
64.2	-51.2418
64.3	-51.2419
64.4	-51.2419
64.5	-51.2419
64.6	-51.2419
64.7	-51.2419
64.8	-51.2419
64.9	-51.2419
65	-51.2419
65.1	-51.2419
65.2	-51.242
65.3	-51.242
65.4	-51.242
65.5	-51.242
65.6	-51.242
65.7	-51.242
65.8	-51.242
65.9	-51.242
66	-51.242
66.1	-51.2421
66.2	-51.2421
66.3	-51.2421
66.4	-51.2421
66.5	-51.2421
66.6	-51.2421
66.7	-51.2421
66.8	-51.2421
66.9	-51.2421
67	-51.2421
67.1	-51.2422
67.2	-51.2422
67.3	-51.2422
67.4	-51.2422
67.5	-51.2422
67.6	-51.2422
67.7	-51.2422
67.8	-51.2422
67.9	-51.2422
68	-51.2422
68.1	-51.2423
68.2	-51.2423
68.3	-51.2423
68.4	-51.2423
68.5	-51.2423
68.6	-51.2423
68.7	-51.2423
